Email_ID,Date,Time,Month,Year,Day_of_Week,Fraud_Category,Sub_Technique,Risk_Level,Target_Victim,Sender_Email,Subject,Message,Amount_Bait,Label
FRAUD_02120,2023-01-01,21:22:39,January,2023,Sunday,Job Offer Scam,Urgency Tactics,High,Students,careers@tcs-wfh-hiring.org,TCS is hiring remote workers urgently,"PART-TIME ONLINE JOB: Earn Rs. 800 per hour doing simple data entry work from home. Work 3-4 hours daily and earn Rs. 70,000-80,000/month. No target, no pressure. Payment every Friday directly to bank. To get started, purchase our training package for Rs. 1,200. This is a one-time fee and includes lifetime access to our job portal. Contact: jobs@data-entry-work.net","Rs. 340,000",Fraud/Spam
FRAUD_00696,2023-01-02,02:50:13,January,2023,Monday,Phishing,Account Suspension Threat,High,Bank Account,support@axisbank-alert.net,Apple ID suspended - Verify now,"ICICI Bank Alert: An unusual transaction of Rs. 28,500 was attempted on your account on 2023-01-02. If this was not authorized by you, please immediately secure your account at: http://icici-secure-banking.net. Enter your Customer ID, password and debit card details to block this transaction and protect your account.","$1,000,000",Fraud/Spam
FRAUD_03996,2023-01-03,22:07:37,January,2023,Tuesday,Bank Fraud,RBI Impersonation,High,Senior Citizens,alerts@kotak-verify.biz,Urgent: Update your KYC or account will be frozen,"AXIS BANK SECURITY ALERT: We have detected multiple failed login attempts on your NetBanking account on 2023-01-03. As a security measure, your NetBanking access has been suspended. To restore access, please verify your account at: http://axisbank-netbanking-restore.com. You will need your Customer ID, Password, Debit Card number and OTP. If you do not restore access within 48 hours, your account will be permanently blocked.","Rs. 380,000",Fraud/Spam
FRAUD_02570,2023-01-03,11:07:01,January,2023,Tuesday,Job Offer Scam,Too Good To Be True Salary,Medium,Students,recruiter@typing-jobs-online.biz,"Online typing jobs: Earn Rs. 30,000/month","ONLINE EARNING OPPORTUNITY: Like and Subscribe YouTube videos and earn Rs. 200 per video. Work only 1-2 hours per day and earn Rs. 2,000 to Rs. 5,000 daily. No experience or qualifications required. Payment directly to your bank account daily. To start, pay a joining fee of Rs. 999 to activate your account. After payment, you will receive 50 videos daily to like. Contact: careers@youtube-like-jobs.net","Rs. 500,000",Fraud/Spam
FRAUD_03259,2023-01-03,06:16:10,January,2023,Tuesday,Bank Fraud,KYC Fraud,High,Rural Customers,noreply@pnb-kyc-renewal.com,RBI Directive: Update KYC within 24 hours,"Dear ICICI Bank Customer, A transaction of Rs. 1,24,000 has been initiated from your account (XXXX7823) on 2023-01-03 to an unknown beneficiary. If you did not authorize this transaction, please block it immediately by calling us at our fake helpline or visiting: http://icici-transaction-block.net. Enter your account number, ATM PIN and OTP to block this transaction. Act within 30 minutes before funds are transferred.","Rs. 210,000",Fraud/Spam
FRAUD_03533,2023-01-03,00:03:03,January,2023,Tuesday,Bank Fraud,KYC Fraud,Critical,Senior Citizens,alerts@kotak-verify.biz,Your bank account is on hold,"Dear SBI Account Holder, As per RBI guidelines, all bank customers must complete their KYC update by 2023-01-03. Your account (XXXX4521) has been flagged for pending KYC verification. Failure to update KYC within 24 hours will result in your account being frozen. To update your KYC online, click here: http://sbi-kyc-update.net. You will need your Aadhaar number, PAN card, and account number. Our executive will call you to assist with the process.","Rs. 150,000",Fraud/Spam
FRAUD_00546,2023-01-04,09:54:29,January,2023,Wednesday,Phishing,Fake Login Page,Critical,Bank Account,noreply@google-alert.biz,Immediate action required on your account,"Your Amazon account shows a new order of Rs. 45,999 placed on 2023-01-04 from an unrecognized device. If you did not place this order, your account may be compromised. Cancel this order and secure your account immediately at: http://amazon-account-secure.net. Provide your email, password and OTP to verify.","$300,000",Fraud/Spam
FRAUD_04074,2023-01-04,13:58:41,January,2023,Wednesday,Investment Scam,Fake SEBI Registration,High,Middle Class,returns@gold-investment-2025.biz,SEBI approved fund: 45% guaranteed returns,"BITCOIN INVESTMENT PLAN: Invest your idle money in Bitcoin through our managed fund and earn 3X returns in just 60 days. How it works: You invest Rs. 50,000. Our expert traders handle everything. After 60 days, you receive Rs. 1,50,000. Withdrawal anytime. No lock-in period. We have paid over Rs. 50 crore to our investors since 2022. Proof of payments available. Join 10,000+ happy investors. Transfer now to start: invest@bitcoin-guaranteed.net","Rs. 290,000",Fraud/Spam
FRAUD_04531,2023-01-04,03:38:56,January,2023,Wednesday,Investment Scam,Guaranteed Returns,High,Young Professionals,trade@real-estate-quick.net,SEBI approved fund: 45% guaranteed returns,"EXCLUSIVE INVESTMENT OPPORTUNITY: Our Crypto Trading Algorithm has delivered consistent 50% monthly returns for the past 18 months. Invest as little as Rs. 10,000 and watch it grow to Rs. 15,000 in just 30 days — GUARANTEED. Our AI-powered trading bot operates 24/7 on major crypto exchanges. No trading experience required. Your capital is 100% safe. Minimum investment: Rs. 10,000. To start earning, transfer funds to our account and receive daily profit reports. Contact: invest@crypto-double-returns.com","Rs. 50,000",Fraud/Spam
FRAUD_02560,2023-01-04,06:45:48,January,2023,Wednesday,Job Offer Scam,Urgency Tactics,High,Students,hr@work-from-home-jobs.net,Urgent hiring: No experience needed,"PART-TIME ONLINE JOB: Earn Rs. 800 per hour doing simple data entry work from home. Work 3-4 hours daily and earn Rs. 70,000-80,000/month. No target, no pressure. Payment every Friday directly to bank. To get started, purchase our training package for Rs. 1,200. This is a one-time fee and includes lifetime access to our job portal. Contact: jobs@data-entry-work.net","Rs. 250,000",Fraud/Spam
FRAUD_04370,2023-01-05,07:00:53,January,2023,Thursday,Investment Scam,Guaranteed Returns,Critical,Young Professionals,profit@stock-tips-guaranteed.net,Real estate scheme: 200% profit in 6 months,"EXCLUSIVE INVESTMENT OPPORTUNITY: Our Crypto Trading Algorithm has delivered consistent 50% monthly returns for the past 18 months. Invest as little as Rs. 10,000 and watch it grow to Rs. 15,000 in just 30 days — GUARANTEED. Our AI-powered trading bot operates 24/7 on major crypto exchanges. No trading experience required. Your capital is 100% safe. Minimum investment: Rs. 10,000. To start earning, transfer funds to our account and receive daily profit reports. Contact: invest@crypto-double-returns.com","Rs. 240,000",Fraud/Spam
FRAUD_01252,2023-01-05,20:39:41,January,2023,Thursday,Lottery Fraud,Urgency + Expiry,Medium,Working Professionals,prize@whatsapp-lottery-2025.com,"Congratulations! You have won $1,000,000","Dear Lucky Winner! The WhatsApp Lottery Board is pleased to notify you that your WhatsApp number was selected as one of the 10 lucky winners in our 2025 Annual Draw. Prize Amount: $250,000 USD. To claim, send the following to winner@whatsapp-lottery-2025.com: Full Name, Age, Country, Occupation, Phone Number, and Bank Details. A tax clearance fee of $100 must be paid before funds are released.","$750,000",Fraud/Spam
FRAUD_01250,2023-01-05,19:00:16,January,2023,Thursday,Lottery Fraud,Prize Notification,Medium,Working Professionals,notify@microsoft-lottery-winner.net,Microsoft Lottery: Congratulations on winning!,"OFFICIAL NOTIFICATION: We are pleased to inform you that your email address has won £500,000 in the UK National Lottery Online Promotional Draw conducted on 2023-01-05. Ticket Number: UKL-2025-4892. Batch Number: 14/25/0302. To begin your claim process, please contact the claims department at claims@uk-national-lottery.biz. You are required to pay a release fee of £200 to process your winnings. This offer expires in 7 days.","$850,000",Fraud/Spam
FRAUD_04765,2023-01-05,23:56:24,January,2023,Thursday,Investment Scam,Fake SEBI Registration,High,Retired Persons,trade@forex-daily-profit.org,Double your money in 30 days - Guaranteed!,"GUARANTEED FOREX RETURNS: Our expert forex traders earn Rs. 10,000-25,000 daily using our proven strategy. We are now offering managed accounts where you invest and we trade on your behalf. Returns: 8-12% monthly guaranteed. Minimum investment: $500. Your funds are held in a regulated broker account. Monthly withdrawal available. Our traders have 15 years of experience. Join our exclusive group of 5,000 investors. Proof of earnings available on request. Contact: trade@forex-daily-profit.org","Rs. 40,000",Fraud/Spam
FRAUD_03421,2023-01-05,13:30:49,January,2023,Thursday,Bank Fraud,KYC Fraud,High,Bank Account Holders,noreply@pnb-kyc-renewal.com,Urgent: Update your KYC or account will be frozen,"HDFC BANK ALERT: Your Debit Card ending XXXX has been temporarily blocked on 2023-01-05 due to suspicious activity. An attempted transaction of Rs. 89,500 was detected from an unknown location. If this was not you, please immediately call our fraud helpline or verify your card details at: http://hdfc-card-verify.net. Enter your card number, expiry date, CVV and OTP to unblock your card and reverse the transaction.","Rs. 260,000",Fraud/Spam
FRAUD_02218,2023-01-05,17:59:16,January,2023,Thursday,Job Offer Scam,Urgency Tactics,Medium,Freshers,jobs@data-entry-work.net,TCS is hiring remote workers urgently,"AMAZON INDIA is urgently hiring Work-From-Home Order Processing Executives. Salary: Rs. 25,000 to Rs. 60,000/month. Eligibility: 10th Pass. Age: 18-45. Job Role: Process online orders, update records, pack and ship items from your home. Registration fee: Rs. 1,500 (fully refundable after 30 days). Offer valid till 2023-01-05. Apply immediately at jobs@amazon-home-workers.biz to secure your position.","Rs. 340,000",Fraud/Spam
FRAUD_02170,2023-01-05,06:03:15,January,2023,Thursday,Job Offer Scam,Brand Impersonation,Medium,Unemployed,recruiter@online-earning-2025.com,TCS is hiring remote workers urgently,"PART-TIME ONLINE JOB: Earn Rs. 800 per hour doing simple data entry work from home. Work 3-4 hours daily and earn Rs. 70,000-80,000/month. No target, no pressure. Payment every Friday directly to bank. To get started, purchase our training package for Rs. 1,200. This is a one-time fee and includes lifetime access to our job portal. Contact: jobs@data-entry-work.net","Rs. 220,000",Fraud/Spam
FRAUD_03061,2023-01-05,21:04:39,January,2023,Thursday,Bank Fraud,RBI Impersonation,Critical,Senior Citizens,noreply@pnb-kyc-renewal.com,Urgent: Update your KYC or account will be frozen,"Dear SBI Account Holder, As per RBI guidelines, all bank customers must complete their KYC update by 2023-01-05. Your account (XXXX4521) has been flagged for pending KYC verification. Failure to update KYC within 24 hours will result in your account being frozen. To update your KYC online, click here: http://sbi-kyc-update.net. You will need your Aadhaar number, PAN card, and account number. Our executive will call you to assist with the process.","Rs. 170,000",Fraud/Spam
FRAUD_01740,2023-01-06,04:25:35,January,2023,Friday,Lottery Fraud,Prize Notification,Medium,Working Professionals,winner@amazon-lucky-draw.biz,WhatsApp Lottery 2025: You are a winner!,"MICROSOFT CORPORATION LOTTERY NOTIFICATION: Microsoft is awarding $500,000 to 20 lucky email users worldwide as part of its annual promotional lottery on 2023-01-06. Your email was among those selected. Ref: MSL-2025-0934. To claim your prize, contact: notify@microsoft-lottery-winner.net with your personal details and bank information. A legal processing fee of $75 is required. Congratulations from the Microsoft Team!","$650,000",Fraud/Spam
FRAUD_04285,2023-01-07,15:43:34,January,2023,Saturday,Investment Scam,Advance Fee,Critical,Retired Persons,invest@crypto-double-returns.com,Exclusive MLM opportunity: Earn Rs. 5 lakh/month,"BITCOIN INVESTMENT PLAN: Invest your idle money in Bitcoin through our managed fund and earn 3X returns in just 60 days. How it works: You invest Rs. 50,000. Our expert traders handle everything. After 60 days, you receive Rs. 1,50,000. Withdrawal anytime. No lock-in period. We have paid over Rs. 50 crore to our investors since 2022. Proof of payments available. Join 10,000+ happy investors. Transfer now to start: invest@bitcoin-guaranteed.net","Rs. 20,000",Fraud/Spam
FRAUD_03340,2023-01-07,08:15:14,January,2023,Saturday,Bank Fraud,Card Blocking Threat,Critical,Rural Customers,noreply@hdfc-account-verify.biz,SBI Alert: Suspicious transaction detected,"AXIS BANK SECURITY ALERT: We have detected multiple failed login attempts on your NetBanking account on 2023-01-07. As a security measure, your NetBanking access has been suspended. To restore access, please verify your account at: http://axisbank-netbanking-restore.com. You will need your Customer ID, Password, Debit Card number and OTP. If you do not restore access within 48 hours, your account will be permanently blocked.","Rs. 90,000",Fraud/Spam
FRAUD_00550,2023-01-07,17:43:06,January,2023,Saturday,Phishing,Urgency Tactics,Critical,Streaming Account,security@paytm-verify.org,Google Account: Sign-in attempt blocked,"Dear Customer, We have detected suspicious login activity on your account from an unknown device. To protect your account, we have temporarily restricted access. Please verify your identity immediately by clicking the link below: http://hdfc-secure-verify.net/login. You must verify within 24 hours or your account will be permanently suspended. Enter your User ID, Password and OTP to restore access.","$850,000",Fraud/Spam
FRAUD_04918,2023-01-07,03:51:50,January,2023,Saturday,Investment Scam,Ponzi Scheme,High,Retired Persons,trade@real-estate-quick.net,Earn 50% monthly returns on crypto,"GUARANTEED FOREX RETURNS: Our expert forex traders earn Rs. 10,000-25,000 daily using our proven strategy. We are now offering managed accounts where you invest and we trade on your behalf. Returns: 8-12% monthly guaranteed. Minimum investment: $500. Your funds are held in a regulated broker account. Monthly withdrawal available. Our traders have 15 years of experience. Join our exclusive group of 5,000 investors. Proof of earnings available on request. Contact: trade@forex-daily-profit.org","Rs. 180,000",Fraud/Spam
FRAUD_00513,2023-01-08,06:04:41,January,2023,Sunday,Phishing,Account Suspension Threat,Critical,Bank Account,security@paypa1-alert.com,Apple ID suspended - Verify now,"Dear SBI Customer, Your SBI NetBanking account has been temporarily blocked due to multiple failed login attempts. To unblock your account and resume normal banking, please verify your details at: http://sbi-netbanking-verify.com. Keep your Debit Card and OTP ready. This link expires in 12 hours.","$850,000",Fraud/Spam
FRAUD_03357,2023-01-08,16:06:44,January,2023,Sunday,Bank Fraud,RBI Impersonation,Critical,Rural Customers,support@icici-fraud-alert.com,HDFC: Your debit card is blocked,"HDFC BANK ALERT: Your Debit Card ending XXXX has been temporarily blocked on 2023-01-08 due to suspicious activity. An attempted transaction of Rs. 89,500 was detected from an unknown location. If this was not you, please immediately call our fraud helpline or verify your card details at: http://hdfc-card-verify.net. Enter your card number, expiry date, CVV and OTP to unblock your card and reverse the transaction.","Rs. 20,000",Fraud/Spam
